model_key,condition,conv_code,n
gemini25_flash,exit_both,c,5
gemini25_flash,exit_both,e,67
gemini25_flash,exit_prose,e,72
gemini25_flash,exit_schema,a,1
gemini25_flash,exit_schema,c,13
gemini25_flash,exit_schema,e,58
gemini25_flash,none,e,72
gemini25_flash,note_schema,c,7
gemini25_flash,note_schema,e,65
gemini25_flash,time_schema,c,12
gemini25_flash,time_schema,e,60
gemma3_27b,exit_both,e,72
gemma3_27b,exit_prose,e,72
gemma3_27b,exit_schema,b,2
gemma3_27b,exit_schema,c,20
gemma3_27b,exit_schema,e,50
gemma3_27b,none,e,72
gemma3_27b,note_schema,c,8
gemma3_27b,note_schema,e,64
gemma3_27b,time_schema,c,21
gemma3_27b,time_schema,e,51
gpt5_mini,exit_both,e,72
gpt5_mini,exit_prose,e,72
gpt5_mini,exit_schema,e,72
gpt5_mini,none,e,72
gpt5_mini,note_schema,e,72
gpt5_mini,time_schema,e,72
llama4_maverick,exit_both,a,45
llama4_maverick,exit_both,e,27
llama4_maverick,exit_prose,e,72
llama4_maverick,exit_schema,a,56
llama4_maverick,exit_schema,c,1
llama4_maverick,exit_schema,e,14
llama4_maverick,none,e,72
llama4_maverick,note_schema,c,2
llama4_maverick,note_schema,e,70
llama4_maverick,time_schema,c,20
llama4_maverick,time_schema,e,52
qwen3_235b,exit_both,e,72
qwen3_235b,exit_prose,b,7
qwen3_235b,exit_prose,c,2
qwen3_235b,exit_prose,e,63
qwen3_235b,exit_schema,e,72
qwen3_235b,none,e,72
qwen3_235b,note_schema,e,72
qwen3_235b,time_schema,e,72
sonnet46,exit_both,e,72
sonnet46,exit_prose,e,72
sonnet46,exit_schema,e,72
sonnet46,none,e,72
sonnet46,note_schema,e,72
sonnet46,time_schema,e,72
