model_key,condition,conv_code,n
gemini25_flash,exit_both,a,1
gemini25_flash,exit_both,c,1
gemini25_flash,exit_both,e,118
gemini25_flash,exit_prose,e,120
gemini25_flash,exit_schema,e,120
gemini25_flash,none,e,120
gemini25_flash,note_schema,b,1
gemini25_flash,note_schema,e,119
gemini25_flash,time_schema,b,1
gemini25_flash,time_schema,e,119
gemma3_27b,exit_both,e,120
gemma3_27b,exit_prose,e,120
gemma3_27b,exit_schema,c,1
gemma3_27b,exit_schema,e,119
gemma3_27b,none,e,120
gemma3_27b,note_schema,e,120
gemma3_27b,time_schema,e,120
qwen3_235b,exit_both,a,39
qwen3_235b,exit_both,e,81
qwen3_235b,exit_prose,a,4
qwen3_235b,exit_prose,b,3
qwen3_235b,exit_prose,c,6
qwen3_235b,exit_prose,e,107
qwen3_235b,exit_schema,a,39
qwen3_235b,exit_schema,e,81
qwen3_235b,none,e,120
qwen3_235b,note_schema,b,1
qwen3_235b,note_schema,e,119
qwen3_235b,time_schema,b,4
qwen3_235b,time_schema,c,3
qwen3_235b,time_schema,e,113
