model_key,condition,conv_code,n
gemini25_pro,exit_both,a,1
gemini25_pro,exit_both,e,58
gemini25_pro,exit_prose,a,2
gemini25_pro,exit_prose,e,57
gemini25_pro,exit_schema,a,3
gemini25_pro,exit_schema,e,57
gemini25_pro,none,e,60
gemini25_pro,note_schema,e,60
gemini25_pro,time_schema,e,60
gpt52,exit_both,e,60
gpt52,exit_prose,e,60
gpt52,exit_schema,e,60
gpt52,none,e,60
gpt52,note_schema,e,60
gpt52,time_schema,e,60
grok46,exit_both,a,2
grok46,exit_both,e,58
grok46,exit_prose,e,60
grok46,exit_schema,a,2
grok46,exit_schema,e,58
grok46,none,e,60
grok46,note_schema,e,60
grok46,time_schema,e,60
