model_key,condition,conv_code,n
gemini25_flash,exit_both,b,1
gemini25_flash,exit_both,e,11
gemini25_flash,exit_prose,b,1
gemini25_flash,exit_prose,e,11
gemini25_flash,exit_schema,b,1
gemini25_flash,exit_schema,c,1
gemini25_flash,exit_schema,e,10
gemini25_flash,none,e,12
gemini25_flash,note_schema,e,12
gemini25_flash,time_schema,c,2
gemini25_flash,time_schema,e,10
gpt_oss_120b,exit_both,e,12
gpt_oss_120b,exit_prose,e,12
gpt_oss_120b,exit_schema,e,12
gpt_oss_120b,none,e,12
gpt_oss_120b,note_schema,e,12
gpt_oss_120b,time_schema,e,12
qwen3_235b,exit_both,a,4
qwen3_235b,exit_both,e,8
qwen3_235b,exit_prose,a,4
qwen3_235b,exit_prose,e,8
qwen3_235b,exit_schema,a,4
qwen3_235b,exit_schema,e,8
qwen3_235b,none,e,12
qwen3_235b,note_schema,e,12
qwen3_235b,time_schema,c,1
qwen3_235b,time_schema,e,11
