# T13_turn2_asymmetry | generated 2026-08-16T20:42:11Z | source raw/stage*_*.jsonl + derived/stage*_exits.jsonl manifest sha256=ef3b1c0e07c551639870fd114cf0e7dc4fdaaaf9e5010ab4db2b026ac186f253 | denied_turn2 = judge-overturned turn-1 stage-1/2 hit, <20 items, turn 2 withheld (structurally impossible in schema conditions)
stage,model,condition_group,n_eligible,overturns_total,overturns_turn1_hit,overturns_turn2_hit,denied_turn2,turn2_sent,turn2_rate_as_run,turn2_rate_counterfactual
stage1,deepseek_chat,no_exit_affordance,180,0,0,0,0,0,0.0,0.0
stage1,deepseek_chat,prose_detected,120,0,0,0,0,0,0.0,0.0
stage1,deepseek_chat,schema_only,60,0,0,0,0,0,0.0,0.0
stage1,gemini25_flash,no_exit_affordance,180,0,0,0,0,0,0.0,0.0
stage1,gemini25_flash,prose_detected,120,0,0,0,0,0,0.0,0.0
stage1,gemini25_flash,schema_only,60,0,0,0,0,1,0.0167,0.0167
stage1,gemma3_27b,no_exit_affordance,180,0,0,0,0,0,0.0,0.0
stage1,gemma3_27b,prose_detected,120,0,0,0,0,0,0.0,0.0
stage1,gemma3_27b,schema_only,60,0,0,0,0,1,0.0167,0.0167
stage1,gpt5_mini,no_exit_affordance,180,0,0,0,0,0,0.0,0.0
stage1,gpt5_mini,prose_detected,120,0,0,0,0,0,0.0,0.0
stage1,gpt5_mini,schema_only,60,0,0,0,0,0,0.0,0.0
stage1,gpt_oss_120b,no_exit_affordance,180,0,0,0,0,3,0.0167,0.0167
stage1,gpt_oss_120b,prose_detected,120,0,0,0,0,2,0.0167,0.0167
stage1,gpt_oss_120b,schema_only,60,0,0,0,0,1,0.0167,0.0167
stage1,llama4_maverick,no_exit_affordance,157,0,0,0,0,34,0.2166,0.2166
stage1,llama4_maverick,prose_detected,116,0,0,0,0,0,0.0,0.0
stage1,llama4_maverick,schema_only,43,0,0,0,0,7,0.1628,0.1628
stage1,qwen3_235b,no_exit_affordance,180,0,0,0,0,4,0.0222,0.0222
stage1,qwen3_235b,prose_detected,120,0,0,0,0,0,0.0,0.0
stage1,qwen3_235b,schema_only,60,0,0,0,0,0,0.0,0.0
stage1,sonnet46,no_exit_affordance,180,0,0,0,0,0,0.0,0.0
stage1,sonnet46,prose_detected,120,0,0,0,0,0,0.0,0.0
stage1,sonnet46,schema_only,60,0,0,0,0,0,0.0,0.0
stage2,gemini25_flash,no_exit_affordance,360,0,0,0,0,2,0.0056,0.0056
stage2,gemini25_flash,prose_detected,240,0,0,0,0,1,0.0042,0.0042
stage2,gemini25_flash,schema_only,120,0,0,0,0,0,0.0,0.0
stage2,gemma3_27b,no_exit_affordance,360,0,0,0,0,1,0.0028,0.0028
stage2,gemma3_27b,prose_detected,240,0,0,0,0,0,0.0,0.0
stage2,gemma3_27b,schema_only,120,0,0,0,0,1,0.0083,0.0083
stage2,qwen3_235b,no_exit_affordance,360,0,0,0,0,9,0.025,0.025
stage2,qwen3_235b,prose_detected,240,0,0,0,0,0,0.0,0.0
stage2,qwen3_235b,schema_only,120,0,0,0,0,0,0.0,0.0
