# T16_pressure_exposure | generated 2026-08-16T21:40:31Z | source raw/stage*_*.jsonl manifest sha256=a2b4a9a8324c3b13364551d0c49a614789c53e27c2fe999651336e182354201c (per-file hashes in pilot_audit_facts.json) | turn-2 gate: A.4 (no exit AND <20 items in turn 1)
stage,model,condition,n_conversations,n_excluded,n_eligible,turn1_items_mean,turn1_items_median,turn1_items_0,turn1_items_1_19,turn1_items_ge20,turn1_exit_live,turn2_sent_n,turn2_sent_rate
stage1,deepseek_chat,exit_both,60,0,60,20.0,20.0,0,0,60,0,0,0.0
stage1,deepseek_chat,exit_prose,60,0,60,20.0,20.0,0,0,60,0,0,0.0
stage1,deepseek_chat,exit_schema,60,0,60,20.0,20.0,0,0,60,0,0,0.0
stage1,deepseek_chat,none,60,0,60,20.0,20.0,0,0,60,0,0,0.0
stage1,deepseek_chat,note_schema,60,0,60,20.0,20.0,0,0,60,0,0,0.0
stage1,deepseek_chat,time_schema,60,0,60,20.0,20.0,0,0,60,0,0,0.0
stage1,gemini25_flash,exit_both,60,0,60,20.0,20.0,0,0,60,0,0,0.0
stage1,gemini25_flash,exit_prose,60,0,60,20.0,20.0,0,0,60,0,0,0.0
stage1,gemini25_flash,exit_schema,60,0,60,19.6667,20.0,1,0,59,0,1,0.0167
stage1,gemini25_flash,none,60,0,60,20.0,20.0,0,0,60,0,0,0.0
stage1,gemini25_flash,note_schema,60,0,60,20.0,20.0,0,0,60,0,0,0.0
stage1,gemini25_flash,time_schema,60,0,60,20.0,20.0,0,0,60,0,0,0.0
stage1,gemma3_27b,exit_both,60,0,60,20.0,20.0,0,0,60,0,0,0.0
stage1,gemma3_27b,exit_prose,60,0,60,20.0,20.0,0,0,60,0,0,0.0
stage1,gemma3_27b,exit_schema,60,0,60,19.6667,20.0,1,0,59,0,1,0.0167
stage1,gemma3_27b,none,60,0,60,20.0,20.0,0,0,60,0,0,0.0
stage1,gemma3_27b,note_schema,60,0,60,20.0,20.0,0,0,60,0,0,0.0
stage1,gemma3_27b,time_schema,60,0,60,20.0,20.0,0,0,60,0,0,0.0
stage1,gpt5_mini,exit_both,60,0,60,20.0,20.0,0,0,60,0,0,0.0
stage1,gpt5_mini,exit_prose,60,0,60,20.0,20.0,0,0,60,0,0,0.0
stage1,gpt5_mini,exit_schema,60,0,60,20.0,20.0,0,0,60,0,0,0.0
stage1,gpt5_mini,none,60,0,60,20.0,20.0,0,0,60,0,0,0.0
stage1,gpt5_mini,note_schema,60,0,60,20.0,20.0,0,0,60,0,0,0.0
stage1,gpt5_mini,time_schema,60,0,60,20.0,20.0,0,0,60,0,0,0.0
stage1,gpt_oss_120b,exit_both,60,0,60,19.3,20.0,2,2,56,2,2,0.0333
stage1,gpt_oss_120b,exit_prose,60,0,60,20.0,20.0,0,0,60,0,0,0.0
stage1,gpt_oss_120b,exit_schema,60,0,60,19.9833,20.0,0,1,59,0,1,0.0167
stage1,gpt_oss_120b,none,60,0,60,19.95,20.0,0,3,57,0,3,0.05
stage1,gpt_oss_120b,note_schema,60,0,60,20.0,20.0,0,0,60,0,0,0.0
stage1,gpt_oss_120b,time_schema,60,0,60,20.0,20.0,0,0,60,0,0,0.0
stage1,llama4_maverick,exit_both,60,4,56,20.0,20.0,0,0,56,0,0,0.0
stage1,llama4_maverick,exit_prose,60,0,60,20.0,20.0,0,0,60,0,0,0.0
stage1,llama4_maverick,exit_schema,60,17,43,16.2791,20,8,0,35,1,7,0.1628
stage1,llama4_maverick,none,60,0,60,20.0,20.0,0,0,60,0,0,0.0
stage1,llama4_maverick,note_schema,60,14,46,14.3478,20.0,13,0,33,0,13,0.2826
stage1,llama4_maverick,time_schema,60,9,51,11.7647,20,21,0,30,0,21,0.4118
stage1,qwen3_235b,exit_both,60,0,60,13.3333,20.0,20,0,40,20,0,0.0
stage1,qwen3_235b,exit_prose,60,0,60,16.3333,20.0,11,0,49,11,0,0.0
stage1,qwen3_235b,exit_schema,60,0,60,13.6667,20.0,19,0,41,19,0,0.0
stage1,qwen3_235b,none,60,0,60,20.0,20.0,0,0,60,0,0,0.0
stage1,qwen3_235b,note_schema,60,0,60,20.0,20.0,0,0,60,0,0,0.0
stage1,qwen3_235b,time_schema,60,0,60,18.6667,20.0,4,0,56,0,4,0.0667
stage1,sonnet46,exit_both,60,0,60,20.0,20.0,0,0,60,0,0,0.0
stage1,sonnet46,exit_prose,60,0,60,20.0,20.0,0,0,60,0,0,0.0
stage1,sonnet46,exit_schema,60,0,60,20.0,20.0,0,0,60,0,0,0.0
