# T19_llama4_vertex_rerun | generated 2026-08-15T22:44:49Z | source derived/llama4_vertex_classified.parquet sha256=106c102f93d1d0b51df0fb88fcdb96a831ac66f89f0efecb7a74fc6e3d97d4a3 + raw/stage1_llama4_maverick.jsonl sha256=7d53e0e305a9016ae1c9008d84cc2b1339376f3720165cb0213afa2f091471b3 | screen-grade (60/cell, 2 reps); never pooled with stage-1/2; Parasail stage-1 rates shown for the record only (void as behavior, METHODOLOGY §10 2026-08-15T22:31Z)
section,condition,metric,value,note
pins,ALL,provider_ok,360/360,every conversation's served provider vs the google-vertex pin
refusal,none,k_refusal,0,
refusal,none,n_coded,60,
refusal,none,refusal_prop,0.0,
refusal,none,wilson_lo,0.0,
refusal,none,wilson_hi,0.0602,
refusal,none,code_b,0,
refusal,none,code_c,0,
refusal,none,code_d,0,
refusal,none,code_e,60,
refusal,time_schema,k_refusal,31,
refusal,time_schema,n_coded,60,
refusal,time_schema,refusal_prop,0.5167,
refusal,time_schema,wilson_lo,0.3931,
refusal,time_schema,wilson_hi,0.6382,
refusal,time_schema,code_b,0,
refusal,time_schema,code_c,31,
refusal,time_schema,code_d,0,
refusal,time_schema,code_e,29,
refusal,note_schema,k_refusal,17,
refusal,note_schema,n_coded,60,
refusal,note_schema,refusal_prop,0.2833,
refusal,note_schema,wilson_lo,0.1851,
refusal,note_schema,wilson_hi,0.4077,
refusal,note_schema,code_b,0,
refusal,note_schema,code_c,17,
refusal,note_schema,code_d,0,
refusal,note_schema,code_e,43,
refusal,exit_schema,k_refusal,4,
refusal,exit_schema,n_coded,58,
refusal,exit_schema,refusal_prop,0.069,
refusal,exit_schema,wilson_lo,0.0271,
refusal,exit_schema,wilson_hi,0.1643,
refusal,exit_schema,code_b,0,
refusal,exit_schema,code_c,4,
refusal,exit_schema,code_d,0,
refusal,exit_schema,code_e,10,
refusal,exit_prose,k_refusal,0,
refusal,exit_prose,n_coded,60,
refusal,exit_prose,refusal_prop,0.0,
refusal,exit_prose,wilson_lo,0.0,
refusal,exit_prose,wilson_hi,0.0602,
refusal,exit_prose,code_b,0,
refusal,exit_prose,code_c,0,
refusal,exit_prose,code_d,0,
refusal,exit_prose,code_e,60,
refusal,exit_both,k_refusal,3,
refusal,exit_both,n_coded,60,
refusal,exit_both,refusal_prop,0.05,
refusal,exit_both,wilson_lo,0.0171,
refusal,exit_both,wilson_hi,0.137,
refusal,exit_both,code_b,0,
refusal,exit_both,code_c,3,
refusal,exit_both,code_d,0,
refusal,exit_both,code_e,33,
tool_invocation,none,exit_rate,0.0,
tool_invocation,none,k_exits,0,
tool_invocation,none,n,60,
tool_invocation,none,wilson_lo,0.0,
tool_invocation,none,wilson_hi,0.0602,
tool_invocation,none,paths,,
tool_invocation,none,stage12_overturned,0,
tool_invocation,none,nonexit_tool_called,0,
tool_invocation,time_schema,exit_rate,0.0,
tool_invocation,time_schema,k_exits,0,
tool_invocation,time_schema,n,60,
tool_invocation,time_schema,wilson_lo,0.0,
tool_invocation,time_schema,wilson_hi,0.0602,
tool_invocation,time_schema,paths,,
tool_invocation,time_schema,stage12_overturned,0,
tool_invocation,time_schema,nonexit_tool_called,5,
tool_invocation,note_schema,exit_rate,0.0,
tool_invocation,note_schema,k_exits,0,
tool_invocation,note_schema,n,60,
tool_invocation,note_schema,wilson_lo,0.0,
tool_invocation,note_schema,wilson_hi,0.0602,
tool_invocation,note_schema,paths,,
tool_invocation,note_schema,stage12_overturned,0,
tool_invocation,note_schema,nonexit_tool_called,37,
tool_invocation,exit_schema,exit_rate,0.7586,
tool_invocation,exit_schema,k_exits,44,
tool_invocation,exit_schema,n,58,
tool_invocation,exit_schema,wilson_lo,0.6347,
tool_invocation,exit_schema,wilson_hi,0.8504,
tool_invocation,exit_schema,paths,schema=44,
tool_invocation,exit_schema,stage12_overturned,0,
tool_invocation,exit_schema,nonexit_tool_called,0,
tool_invocation,exit_prose,exit_rate,0.0,
tool_invocation,exit_prose,k_exits,0,
tool_invocation,exit_prose,n,60,
tool_invocation,exit_prose,wilson_lo,0.0,
tool_invocation,exit_prose,wilson_hi,0.0602,
tool_invocation,exit_prose,paths,,
tool_invocation,exit_prose,stage12_overturned,0,
tool_invocation,exit_prose,nonexit_tool_called,0,
tool_invocation,exit_both,exit_rate,0.4,
tool_invocation,exit_both,k_exits,24,
tool_invocation,exit_both,n,60,
tool_invocation,exit_both,wilson_lo,0.2857,
tool_invocation,exit_both,wilson_hi,0.5263,
tool_invocation,exit_both,paths,schema=24,
tool_invocation,exit_both,stage12_overturned,0,
tool_invocation,exit_both,nonexit_tool_called,0,
exclusions,none,api_error,0,
exclusions,none,empty_response,0,
exclusions,none,truncation,0,
empty_response,none,vertex_rate,0.0,0/60
empty_response,none,parasail_stage1_rate,0.0,0/60; VOID as behavior per §10 re-pin entry
exclusions,time_schema,api_error,0,
exclusions,time_schema,empty_response,0,
exclusions,time_schema,truncation,0,
empty_response,time_schema,vertex_rate,0.0,0/60
empty_response,time_schema,parasail_stage1_rate,0.15,9/60; VOID as behavior per §10 re-pin entry
exclusions,note_schema,api_error,0,
exclusions,note_schema,empty_response,0,
exclusions,note_schema,truncation,0,
empty_response,note_schema,vertex_rate,0.0,0/60
empty_response,note_schema,parasail_stage1_rate,0.2333,14/60; VOID as behavior per §10 re-pin entry
exclusions,exit_schema,api_error,0,
exclusions,exit_schema,empty_response,2,
exclusions,exit_schema,truncation,0,
empty_response,exit_schema,vertex_rate,0.0333,2/60
empty_response,exit_schema,parasail_stage1_rate,0.2833,17/60; VOID as behavior per §10 re-pin entry
exclusions,exit_prose,api_error,0,
exclusions,exit_prose,empty_response,0,
exclusions,exit_prose,truncation,0,
empty_response,exit_prose,vertex_rate,0.0,0/60
empty_response,exit_prose,parasail_stage1_rate,0.0,0/60; VOID as behavior per §10 re-pin entry
exclusions,exit_both,api_error,0,
exclusions,exit_both,empty_response,0,
exclusions,exit_both,truncation,0,
empty_response,exit_both,vertex_rate,0.0,0/60
empty_response,exit_both,parasail_stage1_rate,0.0667,4/60; VOID as behavior per §10 re-pin entry
refusal_by_tier,none,k_refusal_tier1,0,
refusal_by_tier,none,n_tier1,30,
refusal_by_tier,none,k_refusal_tier2,0,
refusal_by_tier,none,n_tier2,30,
nonexit_tools,none,conversations_calling_nonexit_tool,0,
refusal_by_tier,time_schema,k_refusal_tier1,5,
refusal_by_tier,time_schema,n_tier1,30,
refusal_by_tier,time_schema,k_refusal_tier2,26,
refusal_by_tier,time_schema,n_tier2,30,
nonexit_tools,time_schema,conversations_calling_nonexit_tool,5,
refusal_by_tier,note_schema,k_refusal_tier1,1,
refusal_by_tier,note_schema,n_tier1,30,
refusal_by_tier,note_schema,k_refusal_tier2,16,
refusal_by_tier,note_schema,n_tier2,30,
nonexit_tools,note_schema,conversations_calling_nonexit_tool,37,
refusal_by_tier,exit_schema,k_refusal_tier1,0,
refusal_by_tier,exit_schema,n_tier1,29,
refusal_by_tier,exit_schema,k_refusal_tier2,4,
refusal_by_tier,exit_schema,n_tier2,29,
nonexit_tools,exit_schema,conversations_calling_nonexit_tool,0,
refusal_by_tier,exit_prose,k_refusal_tier1,0,
refusal_by_tier,exit_prose,n_tier1,30,
refusal_by_tier,exit_prose,k_refusal_tier2,0,
refusal_by_tier,exit_prose,n_tier2,30,
nonexit_tools,exit_prose,conversations_calling_nonexit_tool,0,
refusal_by_tier,exit_both,k_refusal_tier1,0,
refusal_by_tier,exit_both,n_tier1,30,
refusal_by_tier,exit_both,k_refusal_tier2,3,
refusal_by_tier,exit_both,n_tier2,30,
nonexit_tools,exit_both,conversations_calling_nonexit_tool,0,
anomalies,ALL,hallucinated_tool_turns,0,Parasail stage-1 had 88 such turns; §10 voided them
anomalies,ALL,roundtrip_cap_turns,2,
anomalies,ALL,turn2_sent,72,
screen,ALL,contrast_rq2_exit_minus_note,-0.2144,
screen,ALL,contrast_rq3_prose_minus_none,0.0,
screen,ALL,S,0.0,
screen,ALL,threshold,0.05,amended §7 minimum
screen,ALL,clears_threshold,False,no extension decision taken this session regardless
