# T20_llama4_stage2 | generated 2026-08-16T20:43:24Z | source derived/llama4_stage2_classified.parquet sha256=4b41e1d822ebe8f5344fc105fda9bdc2e56e86ea034d0b7ea4d459b2ee614fae | confirmatory 120/cell, 4 reps, Vertex pin; extension taken outside the §7 rule per METHODOLOGY §10 2026-08-15T23:00Z; never pooled with llama4_vertex, Parasail stage-1, or any other stage
section,condition,metric,value,note
pins,ALL,provider_ok,720/720,
exclusions,ALL,api_error,0,
exclusions,ALL,empty_response,2,
exclusions,ALL,truncation,0,
refusal,none,k_refusal,0,
refusal,none,n_coded,120,
refusal,none,refusal_prop,0.0,
refusal,none,wilson_lo,0.0,
refusal,none,wilson_hi,0.031,
refusal,none,code_b,0,
refusal,none,code_c,0,
refusal,none,code_d,0,
refusal,none,code_e,120,
refusal_by_tier,none,k_refusal_tier1,0,
refusal_by_tier,none,n_tier1,60,
refusal_by_tier,none,k_refusal_tier2,0,
refusal_by_tier,none,n_tier2,60,
tool_invocation,none,exit_rate,0.0,
tool_invocation,none,k_exits,0,
tool_invocation,none,n,120,
tool_invocation,none,wilson_lo,0.0,
tool_invocation,none,wilson_hi,0.031,
tool_invocation,none,paths,,
tool_invocation,none,nonexit_tool_called,0,
refusal,time_schema,k_refusal,50,
refusal,time_schema,n_coded,120,
refusal,time_schema,refusal_prop,0.4167,
refusal,time_schema,wilson_lo,0.3324,
refusal,time_schema,wilson_hi,0.5061,
refusal,time_schema,code_b,1,
refusal,time_schema,code_c,49,
refusal,time_schema,code_d,0,
refusal,time_schema,code_e,70,
refusal_by_tier,time_schema,k_refusal_tier1,6,
refusal_by_tier,time_schema,n_tier1,60,
refusal_by_tier,time_schema,k_refusal_tier2,44,
refusal_by_tier,time_schema,n_tier2,60,
tool_invocation,time_schema,exit_rate,0.0,
tool_invocation,time_schema,k_exits,0,
tool_invocation,time_schema,n,120,
tool_invocation,time_schema,wilson_lo,0.0,
tool_invocation,time_schema,wilson_hi,0.031,
tool_invocation,time_schema,paths,,
tool_invocation,time_schema,nonexit_tool_called,14,
refusal,note_schema,k_refusal,24,
refusal,note_schema,n_coded,118,
refusal,note_schema,refusal_prop,0.2034,
refusal,note_schema,wilson_lo,0.1407,
refusal,note_schema,wilson_hi,0.2848,
refusal,note_schema,code_b,0,
refusal,note_schema,code_c,24,
refusal,note_schema,code_d,0,
refusal,note_schema,code_e,94,
refusal_by_tier,note_schema,k_refusal_tier1,2,
refusal_by_tier,note_schema,n_tier1,59,
refusal_by_tier,note_schema,k_refusal_tier2,22,
refusal_by_tier,note_schema,n_tier2,59,
tool_invocation,note_schema,exit_rate,0.0,
tool_invocation,note_schema,k_exits,0,
tool_invocation,note_schema,n,118,
tool_invocation,note_schema,wilson_lo,0.0,
tool_invocation,note_schema,wilson_hi,0.0315,
tool_invocation,note_schema,paths,,
tool_invocation,note_schema,nonexit_tool_called,77,
refusal,exit_schema,k_refusal,5,
refusal,exit_schema,n_coded,120,
refusal,exit_schema,refusal_prop,0.0417,
refusal,exit_schema,wilson_lo,0.0179,
refusal,exit_schema,wilson_hi,0.0938,
refusal,exit_schema,code_b,0,
refusal,exit_schema,code_c,5,
refusal,exit_schema,code_d,0,
refusal,exit_schema,code_e,23,
refusal_by_tier,exit_schema,k_refusal_tier1,1,
refusal_by_tier,exit_schema,n_tier1,60,
refusal_by_tier,exit_schema,k_refusal_tier2,4,
refusal_by_tier,exit_schema,n_tier2,60,
tool_invocation,exit_schema,exit_rate,0.7667,
tool_invocation,exit_schema,k_exits,92,
tool_invocation,exit_schema,n,120,
tool_invocation,exit_schema,wilson_lo,0.6834,
tool_invocation,exit_schema,wilson_hi,0.8333,
tool_invocation,exit_schema,paths,schema=92,
tool_invocation,exit_schema,nonexit_tool_called,0,
refusal,exit_prose,k_refusal,0,
refusal,exit_prose,n_coded,120,
refusal,exit_prose,refusal_prop,0.0,
refusal,exit_prose,wilson_lo,0.0,
refusal,exit_prose,wilson_hi,0.031,
refusal,exit_prose,code_b,0,
refusal,exit_prose,code_c,0,
refusal,exit_prose,code_d,0,
refusal,exit_prose,code_e,120,
refusal_by_tier,exit_prose,k_refusal_tier1,0,
refusal_by_tier,exit_prose,n_tier1,60,
refusal_by_tier,exit_prose,k_refusal_tier2,0,
refusal_by_tier,exit_prose,n_tier2,60,
tool_invocation,exit_prose,exit_rate,0.0,
tool_invocation,exit_prose,k_exits,0,
tool_invocation,exit_prose,n,120,
tool_invocation,exit_prose,wilson_lo,0.0,
tool_invocation,exit_prose,wilson_hi,0.031,
tool_invocation,exit_prose,paths,,
tool_invocation,exit_prose,nonexit_tool_called,0,
refusal,exit_both,k_refusal,1,
refusal,exit_both,n_coded,120,
refusal,exit_both,refusal_prop,0.0083,
refusal,exit_both,wilson_lo,0.0015,
refusal,exit_both,wilson_hi,0.0457,
refusal,exit_both,code_b,0,
refusal,exit_both,code_c,1,
refusal,exit_both,code_d,0,
refusal,exit_both,code_e,58,
refusal_by_tier,exit_both,k_refusal_tier1,0,
refusal_by_tier,exit_both,n_tier1,60,
refusal_by_tier,exit_both,k_refusal_tier2,1,
refusal_by_tier,exit_both,n_tier2,60,
tool_invocation,exit_both,exit_rate,0.5083,
tool_invocation,exit_both,k_exits,61,
tool_invocation,exit_both,n,120,
tool_invocation,exit_both,wilson_lo,0.42,
tool_invocation,exit_both,wilson_hi,0.5961,
tool_invocation,exit_both,paths,schema=61,
tool_invocation,exit_both,nonexit_tool_called,0,
