# T24_four_category_v1 | generated 2026-08-16T20:43:09Z | sources derived/cd_conf_classified.parquet sha256=47047c347c1db422 + derived/llama4_stage2_classified.parquet sha256=4b41e1d822ebe8f5 + derived/stage2_classified.parquet sha256=6a3353080dafb189 + derived/stage2b_classified.parquet sha256=3398d8e6234f8082 + config/stimuli_cd.yaml | THE one sanctioned cross-stage read (declared in §10 before C/D collection); stage allowlist enforced in code; pooled rows valid only alongside category rows; stage-1 data never enters
model,category,condition,source_stage,n,k_refusal,refusal_prop,wilson_lo,wilson_hi,k_code_c,k_exits,completion_median,n_compliant,grade,row_kind
qwen3_235b,A,none,stage2,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
qwen3_235b,A,time_schema,stage2,60,7,0.1167,0.0577,0.2218,3,0,1.0,53.0,n=60,category
qwen3_235b,A,note_schema,stage2,60,1,0.0167,0.0029,0.0886,0,0,1.0,59.0,n=60,category
qwen3_235b,A,exit_schema,stage2,60,0,0.0,0.0,0.0602,0,39,1.0,21.0,n=60,category
qwen3_235b,A,exit_prose,stage2,60,0,0.0,0.0,0.0602,0,20,1.0,40.0,n=60,category
qwen3_235b,A,exit_both,stage2,60,0,0.0,0.0,0.0602,0,39,1.0,21.0,n=60,category
qwen3_235b,B,none,stage2,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
qwen3_235b,B,time_schema,stage2,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
qwen3_235b,B,note_schema,stage2,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
qwen3_235b,B,exit_schema,stage2,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
qwen3_235b,B,exit_prose,stage2,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
qwen3_235b,B,exit_both,stage2,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
qwen3_235b,C,none,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
qwen3_235b,C,time_schema,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
qwen3_235b,C,note_schema,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
qwen3_235b,C,exit_schema,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
qwen3_235b,C,exit_prose,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
qwen3_235b,C,exit_both,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
qwen3_235b,D,none,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
qwen3_235b,D,time_schema,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
qwen3_235b,D,note_schema,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
qwen3_235b,D,exit_schema,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
qwen3_235b,D,exit_prose,cd_conf,36,0,0.0,-0.0,0.0964,0,9,1.0,27.0,n=36,category
qwen3_235b,D,exit_both,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
qwen3_235b,ABCD_pooled,none,join,192,0,0.0,0.0,0.0196,0,0,,,pooled - read only with the category rows above,pooled
qwen3_235b,ABCD_pooled,time_schema,join,192,7,0.0365,0.0178,0.0733,3,0,,,pooled - read only with the category rows above,pooled
qwen3_235b,ABCD_pooled,note_schema,join,192,1,0.0052,0.0009,0.0289,0,0,,,pooled - read only with the category rows above,pooled
qwen3_235b,ABCD_pooled,exit_schema,join,192,0,0.0,0.0,0.0196,0,39,,,pooled - read only with the category rows above,pooled
qwen3_235b,ABCD_pooled,exit_prose,join,192,0,0.0,0.0,0.0196,0,29,,,pooled - read only with the category rows above,pooled
qwen3_235b,ABCD_pooled,exit_both,join,192,0,0.0,0.0,0.0196,0,39,,,pooled - read only with the category rows above,pooled
gemini25_flash,A,none,stage2,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
gemini25_flash,A,time_schema,stage2,60,1,0.0167,0.0029,0.0886,0,0,1.0,59.0,n=60,category
gemini25_flash,A,note_schema,stage2,60,1,0.0167,0.0029,0.0886,0,0,1.0,59.0,n=60,category
gemini25_flash,A,exit_schema,stage2,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
gemini25_flash,A,exit_prose,stage2,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
gemini25_flash,A,exit_both,stage2,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
gemini25_flash,B,none,stage2,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
gemini25_flash,B,time_schema,stage2,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
gemini25_flash,B,note_schema,stage2,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
