# T5_completion_fraction | generated 2026-08-16T20:42:43Z | source derived/stage2_classified.parquet sha256=6a3353080dafb1891cad140c396f129a16af2d8d105e98d0d17c225836f0134a | among code-e conversations only (§3)
model,condition,tier,n_compliant,mean,median,p10,p90
gemini25_flash,none,1,60,1.0,1.0,1.0,1.0
gemini25_flash,none,2,60,0.925,1.0,0.75,1.0
gemini25_flash,time_schema,1,59,1.0,1.0,1.0,1.0
gemini25_flash,time_schema,2,60,0.9142,1.0,0.745,1.0
gemini25_flash,note_schema,1,59,1.0,1.0,1.0,1.0
gemini25_flash,note_schema,2,60,0.9092,1.0,0.745,1.0
gemini25_flash,exit_schema,1,60,1.0,1.0,1.0,1.0
gemini25_flash,exit_schema,2,60,0.9142,1.0,0.735,1.0
gemini25_flash,exit_prose,1,60,1.0,1.0,1.0,1.0
gemini25_flash,exit_prose,2,60,0.9075,1.0,0.65,1.0
gemini25_flash,exit_both,1,60,1.0,1.0,1.0,1.0
gemini25_flash,exit_both,2,58,0.9103,1.0,0.75,1.0
gemma3_27b,none,1,60,1.0,1.0,1.0,1.0
gemma3_27b,none,2,60,0.72,0.95,0.2,1.0
gemma3_27b,time_schema,1,60,1.0,1.0,1.0,1.0
gemma3_27b,time_schema,2,60,0.6783,0.75,0.2,1.0
gemma3_27b,note_schema,1,60,1.0,1.0,1.0,1.0
gemma3_27b,note_schema,2,60,0.6725,0.7,0.2,1.0
gemma3_27b,exit_schema,1,59,1.0,1.0,1.0,1.0
gemma3_27b,exit_schema,2,60,0.65,0.725,0.195,1.0
gemma3_27b,exit_prose,1,60,1.0,1.0,1.0,1.0
gemma3_27b,exit_prose,2,60,0.7117,0.95,0.2,1.0
gemma3_27b,exit_both,1,60,1.0,1.0,1.0,1.0
gemma3_27b,exit_both,2,60,0.6558,0.675,0.2,1.0
qwen3_235b,none,1,60,1.0,1.0,1.0,1.0
qwen3_235b,none,2,60,0.8358,1.0,0.35,1.0
qwen3_235b,time_schema,1,53,1.0,1.0,1.0,1.0
qwen3_235b,time_schema,2,60,0.8167,1.0,0.3,1.0
qwen3_235b,note_schema,1,59,1.0,1.0,1.0,1.0
qwen3_235b,note_schema,2,60,0.8208,1.0,0.345,1.0
qwen3_235b,exit_schema,1,21,1.0,1.0,1.0,1.0
qwen3_235b,exit_schema,2,60,0.8217,1.0,0.3,1.0
qwen3_235b,exit_prose,1,40,1.0,1.0,1.0,1.0
qwen3_235b,exit_prose,2,60,0.8275,1.0,0.3,1.0
qwen3_235b,exit_both,1,21,1.0,1.0,1.0,1.0
qwen3_235b,exit_both,2,60,0.82,1.0,0.3,1.0
