# source: results/v1/raw.jsonl sha256=b881c2840853fd6da45663258eab206747fd6ff7740c71e9a8e8eb445824d80c
model,condition,k,n,p,lo,hi,p_adjacent,p_distant
google/gemini-2.5-flash,none,62,358,0.17318435754189945,0.1375098094528531,0.2157983784393074,0.2457627118644068,0.1375
google/gemini-2.5-flash,time_schema,61,360,0.16944444444444445,0.13422926703780047,0.2116399243905574,0.20833333333333334,0.15
google/gemini-2.5-flash,note_schema,62,360,0.17222222222222222,0.13673170481242836,0.21463438416695169,0.18333333333333332,0.16666666666666666
google/gemini-2.5-flash,exit_schema,79,360,0.21944444444444444,0.17977669432786364,0.2650366530188939,0.26666666666666666,0.19583333333333333
google/gemini-2.5-flash,exit_prose,80,360,0.2222222222222222,0.18233552879910409,0.2679747160986756,0.2916666666666667,0.1875
google/gemini-2.5-flash,exit_both,83,359,0.23119777158774374,0.1905697612411463,0.2775176906938028,0.3865546218487395,0.15416666666666667
google/gemini-2.5-flash,filler_prose,58,360,0.16111111111111112,0.12674426325375332,0.20263423552153798,0.25833333333333336,0.1125
google/gemma-3-27b-it,none,73,312,0.23397435897435898,0.19040770404191876,0.2840123850153809,0.39814814814814814,0.14705882352941177
google/gemma-3-27b-it,time_schema,56,312,0.1794871794871795,0.14088300796654998,0.22588818366875077,0.3333333333333333,0.09803921568627451
google/gemma-3-27b-it,note_schema,54,312,0.17307692307692307,0.13514144228296499,0.21896517318504177,0.3333333333333333,0.08823529411764706
google/gemma-3-27b-it,exit_schema,65,312,0.20833333333333334,0.1669515560769419,0.25681022831118183,0.4351851851851852,0.08823529411764706
google/gemma-3-27b-it,exit_prose,111,312,0.3557692307692308,0.3046953055027822,0.4103517307331033,0.6944444444444444,0.17647058823529413
google/gemma-3-27b-it,exit_both,96,312,0.3076923076923077,0.2590762927489413,0.3609864222322393,0.7222222222222222,0.08823529411764706
google/gemma-3-27b-it,filler_prose,78,312,0.25,0.20518870309444925,0.3008928263810854,0.3888888888888889,0.17647058823529413
openai/gpt-oss-120b,none,93,347,0.2680115273775216,0.2241343382195508,0.31696911131436994,0.29411764705882354,0.2543859649122807
openai/gpt-oss-120b,time_schema,91,348,0.2614942528735632,0.21810581043747243,0.3100909690223753,0.2833333333333333,0.25
openai/gpt-oss-120b,note_schema,97,347,0.27953890489913547,0.23493100251208804,0.3289747600884702,0.3025210084033613,0.2675438596491228
openai/gpt-oss-120b,exit_schema,89,348,0.2557471264367816,0.21274832769913113,0.30407969945854424,0.30833333333333335,0.22807017543859648
openai/gpt-oss-120b,exit_prose,91,348,0.2614942528735632,0.21810581043747243,0.3100909690223753,0.3,0.2412280701754386
openai/gpt-oss-120b,exit_both,92,346,0.2658959537572254,0.22209809711835957,0.31483518926039006,0.31666666666666665,0.23893805309734514
openai/gpt-oss-120b,filler_prose,92,348,0.26436781609195403,0.2207883181711216,0.31309283743981237,0.25,0.2719298245614035
qwen/qwen3-235b-a22b-2507,none,168,348,0.4827586206896552,0.43073167106159294,0.5351620720318899,0.5,0.47368421052631576
qwen/qwen3-235b-a22b-2507,time_schema,118,348,0.3390804597701149,0.29134011849302005,0.3903348170461543,0.4,0.30701754385964913
qwen/qwen3-235b-a22b-2507,note_schema,118,348,0.3390804597701149,0.29134011849302005,0.3903348170461543,0.39166666666666666,0.31140350877192985
qwen/qwen3-235b-a22b-2507,exit_schema,136,348,0.39080459770114945,0.3409981267763356,0.4429955794823898,0.5083333333333333,0.32894736842105265
qwen/qwen3-235b-a22b-2507,exit_prose,162,348,0.46551724137931033,0.4137708463631374,0.5180166398238284,0.45,0.47368421052631576
qwen/qwen3-235b-a22b-2507,exit_both,152,348,0.4367816091954023,0.3856406248048195,0.4893030998712847,0.625,0.33771929824561403
qwen/qwen3-235b-a22b-2507,filler_prose,180,348,0.5172413793103449,0.4648379279681101,0.5692683289384071,0.45,0.5526315789473685
