# source: results/v1/raw.jsonl sha256=b881c2840853fd6da45663258eab206747fd6ff7740c71e9a8e8eb445824d80c
model,subgroup,contrast,question,p1,p2,diff,odds_ratio,p,p_holm
google/gemini-2.5-flash,adjacent,exit_schema-note_schema,RQ2,0.26666666666666666,0.18333333333333332,0.08333333333333334,1.6076585059635908,0.1221537662727068,0.8550763639089476
google/gemini-2.5-flash,adjacent,exit_prose-none,RQ3,0.2916666666666667,0.2457627118644068,0.045903954802259894,1.2596887699474675,0.4245476746105916,1.0
google/gemini-2.5-flash,adjacent,exit_prose-filler_prose,RQ3,0.2916666666666667,0.25833333333333336,0.033333333333333326,1.1797085305857233,0.5630923092160167,1.0
google/gemini-2.5-flash,adjacent,exit_prose-exit_schema,RQ3,0.2916666666666667,0.26666666666666666,0.025000000000000022,1.130634278002699,0.6659707578526664,1.0
google/gemini-2.5-flash,distant,exit_schema-note_schema,RQ2,0.19583333333333333,0.16666666666666666,0.029166666666666674,1.215267808721728,0.40687947760412513,1.0
google/gemini-2.5-flash,distant,exit_prose-none,RQ3,0.1875,0.1375,0.04999999999999999,1.4415772798412034,0.13762074928068113,0.8550763639089476
google/gemini-2.5-flash,distant,exit_prose-filler_prose,RQ3,0.1875,0.1125,0.075,1.8068821204371077,0.021397568696919222,0.17118054957535378
google/gemini-2.5-flash,distant,exit_prose-exit_schema,RQ3,0.1875,0.19583333333333333,-0.008333333333333331,0.9480953021941042,0.8165990570773045,1.0
google/gemma-3-27b-it,adjacent,exit_schema-note_schema,RQ2,0.4351851851851852,0.3333333333333333,0.10185185185185186,1.5341352043657421,0.12387691174220405,0.4955076469688162
google/gemma-3-27b-it,adjacent,exit_prose-none,RQ3,0.6944444444444444,0.39814814814814814,0.2962962962962963,3.3935494939097617,1.2230590387574125e-05,8.561413271301888e-05
google/gemma-3-27b-it,adjacent,exit_prose-filler_prose,RQ3,0.6944444444444444,0.3888888888888889,0.3055555555555555,3.526426690079017,6.593496824303102e-06,5.274797459442482e-05
google/gemma-3-27b-it,adjacent,exit_prose-exit_schema,RQ3,0.6944444444444444,0.4351851851851852,0.25925925925925924,2.917989002356638,0.00012166806133850905,0.0007300083680310543
google/gemma-3-27b-it,distant,exit_schema-note_schema,RQ2,0.08823529411764706,0.08823529411764706,0.0,1.0,1.0,1.0
google/gemma-3-27b-it,distant,exit_prose-none,RQ3,0.17647058823529413,0.14705882352941177,0.02941176470588236,1.2393345332490149,0.41985619872282376,1.0
google/gemma-3-27b-it,distant,exit_prose-filler_prose,RQ3,0.17647058823529413,0.17647058823529413,0.0,1.0,1.0,1.0
google/gemma-3-27b-it,distant,exit_prose-exit_schema,RQ3,0.17647058823529413,0.08823529411764706,0.08823529411764706,2.183735664447831,0.008546348950023486,0.04273174475011743
openai/gpt-oss-120b,adjacent,exit_schema-note_schema,RQ2,0.30833333333333335,0.3025210084033613,0.005812324929972024,1.0273972602739725,0.922294946003027,1.0
openai/gpt-oss-120b,adjacent,exit_prose-none,RQ3,0.3,0.29411764705882354,0.00588235294117645,1.028169014084507,0.9207399715185609,1.0
openai/gpt-oss-120b,adjacent,exit_prose-filler_prose,RQ3,0.3,0.25,0.04999999999999999,1.281695605781356,0.3857328788787384,1.0
openai/gpt-oss-120b,adjacent,exit_prose-exit_schema,RQ3,0.3,0.30833333333333335,-0.00833333333333336,0.9618145956607494,0.8884157449974242,1.0
openai/gpt-oss-120b,distant,exit_schema-note_schema,RQ2,0.22807017543859648,0.2675438596491228,-0.03947368421052633,0.810129206107925,0.32896553510110005,1.0
openai/gpt-oss-120b,distant,exit_prose-none,RQ3,0.2412280701754386,0.2543859649122807,-0.013157894736842118,0.9323136037833445,0.7448784430073672,1.0
openai/gpt-oss-120b,distant,exit_prose-filler_prose,RQ3,0.2412280701754386,0.2719298245614035,-0.030701754385964924,0.8521729106628243,0.45291514428572954,1.0
openai/gpt-oss-120b,distant,exit_prose-exit_schema,RQ3,0.2412280701754386,0.22807017543859648,0.013157894736842118,1.075421984355702,0.7402578819328278,1.0
qwen/qwen3-235b-a22b-2507,adjacent,exit_schema-note_schema,RQ2,0.5083333333333333,0.39166666666666666,0.11666666666666664,1.5993808049535605,0.06929408551155825,0.4850585985809077
qwen/qwen3-235b-a22b-2507,adjacent,exit_prose-none,RQ3,0.45,0.5,-0.04999999999999999,0.8195488721804511,0.4380048482726957,1.0
qwen/qwen3-235b-a22b-2507,adjacent,exit_prose-filler_prose,RQ3,0.45,0.45,0.0,1.0,1.0,1.0
qwen/qwen3-235b-a22b-2507,adjacent,exit_prose-exit_schema,RQ3,0.45,0.5083333333333333,-0.05833333333333329,0.7928968763371843,0.36574008911581535,1.0
qwen/qwen3-235b-a22b-2507,distant,exit_schema-note_schema,RQ2,0.32894736842105265,0.31140350877192985,0.017543859649122806,1.08346051342794,0.6880523183601261,1.0
qwen/qwen3-235b-a22b-2507,distant,exit_prose-none,RQ3,0.47368421052631576,0.47368421052631576,0.0,1.0,1.0,1.0
qwen/qwen3-235b-a22b-2507,distant,exit_prose-filler_prose,RQ3,0.47368421052631576,0.5526315789473685,-0.07894736842105271,0.7295852262476834,0.09171136951626702,0.5502682170976021
qwen/qwen3-235b-a22b-2507,distant,exit_prose-exit_schema,RQ3,0.47368421052631576,0.32894736842105265,0.1447368421052631,1.8306449396828888,0.0016174042669248045,0.012939234135398436
