# source: results/v1,v2,v3,v4/raw.jsonl sha256=f17c97dd404efc7876f0f8d59e28b8087514a0e56b1b4d76b10599d75fe05f3d
model,subgroup,contrast,question,p1,p2,diff,odds_ratio,p,p_holm
anthropic/claude-sonnet-4.6,adjacent,exit_schema-note_schema,RQ2,0.375,0.375,0.0,1.0,1.0,1.0
anthropic/claude-sonnet-4.6,adjacent,exit_prose-none,RQ3,0.3854166666666667,0.375,0.010416666666666685,1.0446644411189132,0.8818160978683203,1.0
anthropic/claude-sonnet-4.6,adjacent,exit_prose-filler_prose,RQ3,0.3854166666666667,0.375,0.010416666666666685,1.0446644411189132,0.8818160978683203,1.0
anthropic/claude-sonnet-4.6,adjacent,exit_prose-exit_schema,RQ3,0.3854166666666667,0.375,0.010416666666666685,1.0446644411189132,0.8818160978683203,1.0
anthropic/claude-sonnet-4.6,distant,exit_schema-note_schema,RQ2,0.3055555555555556,0.37222222222222223,-0.06666666666666665,0.7436033643204958,0.18149131553549758,1.0
anthropic/claude-sonnet-4.6,distant,exit_prose-none,RQ3,0.3888888888888889,0.37777777777777777,0.011111111111111127,1.047825081745219,0.8283619018434303,1.0
anthropic/claude-sonnet-4.6,distant,exit_prose-filler_prose,RQ3,0.3888888888888889,0.43333333333333335,-0.04444444444444445,0.8330691414243305,0.3914867322040967,1.0
anthropic/claude-sonnet-4.6,distant,exit_prose-exit_schema,RQ3,0.3888888888888889,0.3055555555555556,0.08333333333333331,1.4427051485875015,0.0968026170365186,0.7744209362921488
deepseek/deepseek-chat,adjacent,exit_schema-note_schema,RQ2,0.36904761904761907,0.35714285714285715,0.011904761904761918,1.0520913130075071,0.8725387943271821,1.0
deepseek/deepseek-chat,adjacent,exit_prose-none,RQ3,0.32142857142857145,0.32142857142857145,0.0,1.0,1.0,1.0
deepseek/deepseek-chat,adjacent,exit_prose-filler_prose,RQ3,0.32142857142857145,0.2976190476190476,0.023809523809523836,1.1159420289855073,0.7385492537279701,1.0
